City,Latitude,Longitude,Country Code
Saint George's,12.05288,-61.75226,GD
Grenville,12.12278,-61.62498,GD
Gouyave,12.16462,-61.72965,GD
Victoria,12.19021,-61.70677,GD
Sauteurs,12.21833,-61.63917,GD
Saint David’s,12.04903,-61.66875,GD
Hillsborough,12.48292,-61.45597,GD
Willis,12.0856,-61.71957,GD
Upper Pearls,12.15795,-61.61998,GD
Upper La Taste,12.19302,-61.61813,GD
Upper La Tante,12.05,-61.65,GD
Upper Capitol,12.11485,-61.66309,GD
Union Village,12.10491,-61.63475,GD
Union,12.20897,-61.65783,GD
Tivoli,12.17268,-61.61641,GD
Paradise,12.13716,-61.62304,GD
Paraclete,12.15083,-61.64325,GD
Mount Craven,12.22106,-61.64967,GD
Morne Tranquille,12.06009,-61.69059,GD
Morne Rouge,12.01762,-61.77157,GD
Morne Longue,12.12166,-61.68698,GD
Morne Jaloux Ridge,12.03966,-61.735,GD
Morne Jaloux,12.03066,-61.7347,GD
Morne Fendue,12.20991,-61.63271,GD
Morne Docteur,12.1,-61.75,GD
Maulti,12.04133,-61.67015,GD
Marquis,12.10498,-61.62809,GD
Mamma Cannes,12.0654,-61.65126,GD
Lance aux Épines,11.99848,-61.75634,GD
Ka-fe Beau,12.02806,-61.75408,GD
