City,Latitude,Longitude,Country Code
Cayenne,4.93333,-52.33333,GF
Kourou,5.16281,-52.64265,GF
Saint-Laurent-du-Maroni,5.50153,-54.02916,GF
Matoury,4.84921,-52.32355,GF
Rémire-Montjoly,4.91667,-52.26667,GF
Mana,5.66906,-53.77897,GF
Macouria,4.91216,-52.37432,GF
Grand-Santi,4.27295,-54.38146,GF
Apatou,5.15526,-54.34311,GF
Sinnamary,5.37676,-52.95679,GF
Saint-Georges,3.88857,-51.80243,GF
Camopi,3.16887,-52.33525,GF
Saül,3.62307,-53.20918,GF
Roura,4.72874,-52.32495,GF
Régina,4.313,-52.13083,GF
Awala-Yalimapo,5.73636,-53.90869,GF
Tonnégrande,4.83085,-52.44321,GF
Saint-Jean,5.40538,-54.07896,GF
Saint-Élie,4.82426,-53.28821,GF
Paul Isnard,4.77613,-54.0085,GF
Papaichton,3.80579,-54.14461,GF
Palassissi,3.28406,-54.08417,GF
Montsinéry-Tonnegrande,4.9,-52.5,GF
Maripasoula,3.64155,-54.03167,GF
Le Larivot,4.90255,-52.35913,GF
Kormontibo,3.80415,-54.14118,GF
Kaw,4.4865,-52.03706,GF
Javouhey,5.60659,-53.81855,GF
Farnous,4.94813,-52.42267,GF
Elaé,3.46571,-54.00567,GF
