City,Latitude,Longitude,Country Code
St Peter Port,49.45981,-2.53527,GG
St. Sampson,49.48389,-2.52333,GG
Sark,49.43331,-2.35622,GG
La Seigneurie,49.43778,-2.3625,GG
Saint Anne,49.71549,-2.20757,GG
Torteval,49.43333,-2.65,GG
Houmets,49.47667,-2.57472,GG
Braye du Valle,49.48722,-2.53528,GG
St. Saviour,49.45694,-2.63583,GG
Castel,49.46757,-2.60015,GG
Saint Andrew,49.44389,-2.58018,GG
St Martin,49.43713,-2.55479,GG
Vale,49.48577,-2.51956,GG
Grandes Rocques,49.48658,-2.58505,GG
La Fregondée,49.42972,-2.37,GG
Saint Johns,49.465,-2.54,GG
St. Germain,49.4675,-2.59583,GG
Saint George,49.46556,-2.58944,GG
La Rochelle,49.49944,-2.50889,GG
Rohais Manor,49.45917,-2.56306,GG
Paradis,49.5,-2.51667,GG
Les Nicolles,49.43056,-2.58139,GG
Le Mont Durand,49.45028,-2.54917,GG
La Ville Roussel,49.43722,-2.35528,GG
La Ramée,49.47139,-2.55611,GG
King’s Mills,49.45778,-2.60306,GG
Braye,49.46667,-2.55,GG
Mont St,49.45694,-2.62361,GG
Saumarez,49.46667,-2.6,GG
Roque Tourgis,49.71667,-2.21667,GG
