City,Latitude,Longitude,Country Code
Accra,5.55602,-0.1969,GH
Achiaman,5.69775,-0.32824,GH
Tema,5.6698,-0.01657,GH
Sekondi-Takoradi,4.92678,-1.75773,GH
Kumasi,6.68848,-1.62443,GH
Teshie,5.58365,-0.10722,GH
Tamale,9.40079,-0.8393,GH
Ho,6.60084,0.4713,GH
Cape Coast,5.10535,-1.2466,GH
Sunyani,7.33991,-2.32676,GH
Koforidua,6.09408,-0.25913,GH
Wa,10.06069,-2.50192,GH
Bolgatanga,10.78556,-0.85139,GH
Techiman,7.59054,-1.93947,GH
Takoradze,4.89816,-1.76029,GH
Obuasi,6.20228,-1.66796,GH
Medina Estates,5.6658,-0.16307,GH
Twifu Praso,5.61411,-1.5502,GH
Ashaiman,5.69951,-0.03484,GH
Amanfro,5.53532,-0.39827,GH
Aflao,6.11982,1.19012,GH
Tafo,6.73156,-1.6137,GH
Agona Swedru,5.53711,-0.69984,GH
Suhum,6.04089,-0.45004,GH
Kasoa,5.53449,-0.41679,GH
Akim Oda,5.92665,-0.98577,GH
Nalerigu,10.52726,-0.36982,GH
Mampong,7.06273,-1.4001,GH
Yendi,9.44272,-0.00991,GH
Winneba,5.35113,-0.62313,GH
