City,Latitude,Longitude,Country Code
Nuuk,64.18347,-51.72157,GL
Ilulissat,69.21981,-51.09861,GL
Sisimiut,66.93946,-53.6735,GL
Aasiaat,68.70869,-52.86366,GL
Qaqortoq,60.71839,-46.03561,GL
Maniitsoq,65.41506,-52.89822,GL
Tasiilaq,65.61451,-37.63676,GL
Paamiut,61.99402,-49.66776,GL
Narsaq,60.91298,-46.05055,GL
Uummannaq,70.67442,-52.12545,GL
Narsarsuaq,61.15667,-45.42536,GL
Nanortalik,60.14169,-45.24069,GL
Kangaatsiaq,68.30648,-53.46405,GL
Ittoqqortoormiit,70.48456,-21.96221,GL
Upernavik,72.7872,-56.14436,GL
Kangerlussuaq,67.00876,-50.68937,GL
Qeqertarsuaq,69.24721,-53.53682,GL
Qasigiannguit,68.81926,-51.19221,GL
Qaanaaq,77.46666,-69.23155,GL
Kulusuk,65.57538,-37.18467,GL
Nuussuaq,74.11117,-57.05962,GL
Kangaamiut,65.82503,-53.34279,GL
Bluie West Seven,61.23238,-48.096,GL
Narsarmijit,60.00488,-44.66531,GL
Qeqertarsuatsiaat,63.08815,-50.67767,GL
Akunnaaq,68.74415,-52.3299,GL
Aappilattoq,72.88333,-55.6,GL
Majestic Bay Settlement,73.36902,-56.05755,GL
Upernavik Kujalleq,72.15508,-55.5241,GL
Qullissat,70.08733,-53.00628,GL
