City,Latitude,Longitude,Country Code
Serrekunda,13.43833,-16.67806,GM
Bakau,13.47806,-16.68194,GM
Basse Santa Su,13.30995,-14.21373,GM
Banjul,13.45274,-16.57803,GM
Brikama,13.27136,-16.64944,GM
Farafenni,13.56667,-15.6,GM
Sukuta,13.41033,-16.70815,GM
Kanifing,13.44639,-16.67444,GM
Gunjur,13.20194,-16.73389,GM
Janjanbureh,13.54039,-14.76374,GM
Essau,13.48389,-16.53472,GM
Busumbala,13.33917,-16.6875,GM
Brufut,13.38417,-16.75139,GM
Abuko,13.40417,-16.65583,GM
Old Yundum,13.3625,-16.68611,GM
Yundum,13.34556,-16.67278,GM
Welingara,13.40361,-16.67361,GM
Tanji,13.34889,-16.79083,GM
Soma,13.43333,-15.53333,GM
Nema Kunku,13.25,-15.88333,GM
Mansa Konko,13.44325,-15.5357,GM
Latri Sabiji,13.41333,-16.67889,GM
Lamin,13.35222,-16.43389,GM
Kerewan,13.4898,-16.08879,GM
Garawol,13.41667,-13.95,GM
Diabugu,13.38333,-14.4,GM
Demba Kunda,13.25,-14.26667,GM
Brikama Ba,13.53333,-14.93333,GM
Brifu,13.5,-13.93333,GM
Barra,13.48278,-16.54556,GM
