City,Latitude,Longitude,Country Code
Camayenne,9.535,-13.68778,GN
Conakry,9.53795,-13.67729,GN
Kamsar,10.65,-14.61667,GN
Kankan,10.38542,-9.30568,GN
Gueckedou,8.56744,-10.1336,GN
Coyah,9.70643,-13.38465,GN
Nzérékoré,7.75624,-8.8179,GN
Kindia,10.05692,-12.86576,GN
Faranah,10.04036,-10.74343,GN
Boké,10.93217,-14.29055,GN
Manéah,9.73333,-13.41667,GN
Mamou,10.37546,-12.09148,GN
Labé,11.31823,-12.28332,GN
Dubréka,9.79111,-13.52333,GN
Siguiri,11.42282,-9.16852,GN
Sangarédi,11.1,-13.76667,GN
Macenta,8.54351,-9.47099,GN
Kissidougou,9.1848,-10.09987,GN
Fria,10.36676,-13.58253,GN
Dabola,10.7433,-11.10778,GN
Albadéria,9.55,-10.1,GN
Tougué,11.44503,-11.66422,GN
Télimélé,10.9,-13.03333,GN
Pita,11.05915,-12.39498,GN
Moussadou,8.76667,-8.61667,GN
Lola,7.8,-8.53333,GN
Kouroussa,10.65,-9.88333,GN
Kintinian,11.6,-9.38333,GN
Kérouané,9.26667,-9.01667,GN
Forécariah,9.43056,-13.08806,GN
