City,Latitude,Longitude,Country Code
Les Abymes,16.273,-61.50507,GP
Pointe-à-Pitre,16.24125,-61.53614,GP
Baie-Mahault,16.26738,-61.58543,GP
Petit-Bourg,16.19163,-61.5914,GP
Le Gosier,16.20618,-61.49306,GP
Basse-Terre,15.99714,-61.73214,GP
Sainte-Rose,16.33264,-61.6969,GP
Sainte-Anne,16.22564,-61.38098,GP
Le Moule,16.33164,-61.34656,GP
Capesterre-Belle-Eau,16.04495,-61.56425,GP
Lamentin,16.27047,-61.63166,GP
Petites Anses,15.84993,-61.64457,GP
Saint-François,16.25236,-61.27332,GP
Saint-Claude,16.02515,-61.69975,GP
Pointe-Noire,16.23218,-61.78917,GP
Petit-Canal,16.37913,-61.48716,GP
Grand-Bourg,15.88402,-61.3148,GP
Gourbeyre,15.99454,-61.69203,GP
Baillif,16.02037,-61.74611,GP
Anse-Bertrand,16.47239,-61.50739,GP
Vieux-Habitants,16.05866,-61.76667,GP
Trois-Rivières,15.97595,-61.64492,GP
Terre-de-Haut,15.86656,-61.5826,GP
Port-Louis,16.41749,-61.53045,GP
Morne-à-l'Eau,16.33339,-61.4588,GP
Deshaies,16.30672,-61.79435,GP
Capesterre-de-Marie-Galante,15.88333,-61.21667,GP
Bouillante,16.13043,-61.76895,GP
La Désirade,16.31667,-61.03333,GP
Zévallos,16.30542,-61.30299,GP
