City,Latitude,Longitude,Country Code
Malabo,3.75578,8.78166,GQ
Bata,1.86391,9.76582,GQ
Ebebiyin,2.15218,11.33013,GQ
Añisok,1.8658,10.76892,GQ
Aconibe,1.29683,10.93691,GQ
Mongomo,1.62742,11.31346,GQ
Evinayong,1.43677,10.55124,GQ
Luba,3.45683,8.55465,GQ
Rebola,3.71667,8.83333,GQ
Mikomeseng,2.13609,10.61322,GQ
San Antonio de Palé,-1.4068,5.63178,GQ
Acurenam,1.03225,10.64882,GQ
Mengomeyén,1.69671,11.01862,GQ
Ayene,1.85592,10.68994,GQ
Río Campo,2.33812,9.82212,GQ
Nsok,1.12985,11.26603,GQ
Nsang,2.02475,10.94599,GQ
Ncue,2.01643,10.47066,GQ
Mbini,1.58267,9.61478,GQ
Machinda,1.88262,9.95133,GQ
Cogo,1.08425,9.693,GQ
Bitica,1.4261,9.62316,GQ
Bicurga,1.58113,10.46716,GQ
Belebú Balachá,3.40211,8.57411,GQ
Basupú,3.72792,8.81018,GQ
Baó Grande,3.51861,8.81826,GQ
Acoacan,1.60994,11.30741,GQ
Acalayong,1.09185,9.66403,GQ
Abanayop,0.98878,10.93534,GQ
Abaamang,1.67558,10.63073,GQ
