City,Latitude,Longitude,Country Code
Guatemala City,14.64072,-90.51327,GT
Cobán,15.47083,-90.37083,GT
Villa Nueva,14.52512,-90.58544,GT
Quetzaltenango,14.83472,-91.51806,GT
Jutiapa,14.29167,-89.89583,GT
Jalapa,14.63472,-89.98889,GT
Escuintla,14.3009,-90.78581,GT
Mixco,14.63077,-90.60711,GT
Chichicastenango,14.94333,-91.11116,GT
Villa Canales,14.48285,-90.53425,GT
Chiquimula,14.8,-89.54583,GT
Antigua Guatemala,14.56111,-90.73444,GT
Huehuetenango,15.31918,-91.47241,GT
Totonicapán,14.91167,-91.36111,GT
Puerto Barrios,15.72778,-88.59444,GT
Chimaltenango,14.66111,-90.81944,GT
Zacapa,14.97222,-89.53056,GT
Mazatenango,14.53417,-91.50333,GT
Flores,16.92258,-89.89941,GT
Coatepeque,14.70413,-91.86426,GT
Santa Cruz del Quiché,15.03085,-91.14871,GT
San Marcos,14.96389,-91.79444,GT
Salamá,15.10278,-90.31806,GT
Retalhuleu,14.53611,-91.67778,GT
Chinautla,14.70289,-90.49983,GT
Malacatán,14.91132,-92.05788,GT
Guastatoya,14.85417,-90.06944,GT
Cuilapa,14.27639,-90.29889,GT
Sololá,14.77222,-91.18333,GT
Santa Lucía Cotzumalguapa,14.33505,-91.02339,GT
