City,Latitude,Longitude,Country Code
Dededo Village,13.51777,144.8391,GU
Tamuning-Tumon-Harmon Village,13.48773,144.78138,GU
Yigo Village,13.53605,144.88855,GU
Barrigada Village,13.46913,144.79901,GU
Tamuning,13.48754,144.78143,GU
Mangilao Village,13.44761,144.80109,GU
Santa Rita,13.38608,144.67226,GU
Hagåtña,13.47567,144.74886,GU
Mongmong-Toto-Maite Village,13.46857,144.78214,GU
Yona Village,13.40974,144.77697,GU
Chalan Pago-Ordot Village,13.44741,144.75902,GU
Merizo Village,13.26584,144.66908,GU
Inarajan Village,13.27363,144.74845,GU
Agana Heights Village,13.46559,144.74795,GU
Piti Village,13.46256,144.69331,GU
Sinajana Village,13.46334,144.75406,GU
Talofofo Village,13.35513,144.75835,GU
Umatac Village,13.29843,144.66314,GU
Agat Village,13.383,144.66003,GU
Asan-Maina Village,13.47215,144.71654,GU
Hagåtña Village,13.47279,144.75802,GU
Chalan Pago,13.43857,144.77607,GU
Asan,13.47174,144.71581,GU
Malojloj,13.3064,144.76105,GU
Sese,13.28731,144.74509,GU
Agafo Gumas,13.58315,144.87881,GU
Afami,13.4571,144.76285,GU
Lockwood Terrace - DoD Naval Housing,13.43272,144.65031,GU
Apoigan,13.48817,144.77644,GU
Fern Terrace,13.56991,144.85019,GU
