City,Latitude,Longitude,Country Code
Bolama,11.57694,-15.47611,GW
Bissau,11.86357,-15.59767,GW
Catió,11.2825,-15.25472,GW
Cacheu,12.27444,-16.16528,GW
Bissorã,12.22306,-15.4475,GW
Bubaque,11.28333,-15.83333,GW
Gabú,12.28,-14.22222,GW
Bafatá,12.16583,-14.66167,GW
Quinhámel,11.88694,-15.85556,GW
Madina do Boé,11.74765,-14.2113,GW
Farim,12.48389,-15.22167,GW
Canchungo,12.43333,-16.08333,GW
Bula,12.10389,-15.70806,GW
Buba,11.58889,-14.99583,GW
Sonaco,12.4,-14.48333,GW
São Domingos,12.40194,-16.20056,GW
Safim,11.95,-15.65,GW
Quebo,11.33333,-14.93333,GW
Prábis,11.8025,-15.73889,GW
Nhacra,11.96667,-15.55,GW
Mansôa,12.07333,-15.31889,GW
Mansabá,12.29194,-15.18278,GW
Jabicunda,12.31667,-14.55,GW
Contuboel,12.39081,-14.57139,GW
Canchungo,12.06722,-16.03333,GW
Caió,11.92858,-16.20269,GW
Cacine,11.11667,-15.01667,GW
Bambadinca,12.02342,-14.86119,GW
Xitole,11.73333,-14.81667,GW
Uelingarà,12.16667,-14.2,GW
