City,Latitude,Longitude,Country Code
Georgetown,6.80448,-58.15527,GY
New Amsterdam,6.24793,-57.5171,GY
Linden,6.00809,-58.30714,GY
Anna Regina,7.26439,-58.50769,GY
Skeldon,5.87035,-57.14681,GY
Bartica,6.40799,-58.62192,GY
Rosignol,6.27095,-57.53697,GY
Mahdia,5.26667,-59.15,GY
Parika,6.83712,-58.42941,GY
Mahaica Village,6.6817,-57.92181,GY
Vreed-en-Hoop,6.80927,-58.19798,GY
Mahaicony Village,6.57212,-57.80624,GY
Mabaruma,8.2,-59.78333,GY
Lethem,3.38333,-59.8,GY
Orinduik,4.7,-60.01667,GY
Matthews Ridge,7.49426,-60.15068,GY
Kamarang,5.86667,-60.61667,GY
Imbaimadai,5.7,-60.28333,GY
Baramita,7.35,-60.48333,GY
Arakaka,7.58333,-60.01667,GY
Surama Village,4.16667,-59.08333,GY
Suddie,7.10921,-58.47729,GY
Number Seventy-four Stockholm,5.92128,-57.15396,GY
Soesdyke,6.54276,-58.229,GY
Saxacalli,6.57782,-58.61091,GY
Santa Rosa Mission,7.65,-58.95,GY
Rose Hall,6.25577,-57.35502,GY
Rockstone,5.98888,-58.55248,GY
Port Mourant,6.24604,-57.3336,GY
Port Kaituma,7.72987,-59.87514,GY
