City,Latitude,Longitude,Country Code
Hong Kong,22.27832,114.17469,HK
Tseung Kwan O,22.32789,114.24992,HK
Tai Po,22.45007,114.16877,HK
Kwai Chung,22.36828,114.13877,HK
Tin Shui Wai,22.45679,114.00234,HK
Kowloon,22.31667,114.18333,HK
Victoria,22.2875,114.14417,HK
Tsuen Wan,22.37137,114.11329,HK
Yuen Long,22.44518,114.02621,HK
Wong Tai Sin,22.35,114.18333,HK
Wan Chai,22.28142,114.17258,HK
Tuen Mun,22.39175,113.97157,HK
Shatin,22.38333,114.18333,HK
Sham Shui Po,22.33023,114.15945,HK
Aberdeen,22.24802,114.15289,HK
New Territories,22.42441,114.11095,HK
Hong Kong Island,22.26302,114.18419,HK
Yuen Long San Hui,22.43333,114.03333,HK
Yuen Long Kau Hui,22.44831,114.03199,HK
Tsing Yi,22.35,114.1,HK
Sha Tin Wai,22.37756,114.19753,HK
San Tung Chung Hang,22.27875,113.94307,HK
Mong Kok,22.31935,114.17136,HK
Ma On Shan,22.40613,114.24079,HK
Kwun Tong,22.31184,114.22176,HK
Fanling,22.49487,114.13949,HK
Central,22.28299,114.15846,HK
Tung Chung,22.28783,113.94243,HK
Causeway Bay,22.28189,114.18515,HK
Tiu Keng Leng,22.29853,114.25115,HK
