City,Latitude,Longitude,Country Code
Tegucigalpa,14.0818,-87.20681,HN
San Pedro Sula,15.50417,-88.025,HN
La Ceiba,15.75971,-86.78221,HN
Ciudad Choluteca,13.30028,-87.19083,HN
Puerto Cortez,15.82562,-87.92968,HN
Comayagua,14.45139,-87.6375,HN
La Lima,15.43333,-87.91667,HN
Danlí,14.03333,-86.58333,HN
Santa Rosa de Copán,14.76667,-88.77917,HN
Yoro,15.1375,-87.12778,HN
Trujillo,15.91667,-85.95417,HN
Santa Bárbara,14.91944,-88.23611,HN
Coxen Hole,16.31553,-86.53966,HN
Nacaome,13.53611,-87.4875,HN
La Paz,14.31944,-87.67917,HN
Juticalpa,14.66667,-86.21944,HN
Gracias,14.59028,-88.58194,HN
El Progreso,15.4,-87.8,HN
Choloma,15.61444,-87.95302,HN
Tocoa,15.68333,-86,HN
Tela,15.77425,-87.46731,HN
Siguatepeque,14.59691,-87.83102,HN
Santa Cruz de Yojoa,14.98086,-87.89091,HN
Sambo Creek,15.81667,-86.68333,HN
Puerto Lempira,15.26667,-83.77222,HN
Potrerillos,15.23008,-87.96386,HN
Olanchito,15.48131,-86.57415,HN
Nueva Ocotepeque,14.43333,-89.18333,HN
Morazán,15.31667,-87.6,HN
La Esperanza,14.31111,-88.18056,HN
