City,Latitude,Longitude,Country Code
Zagreb,45.81444,15.97798,HR
Rijeka,45.32673,14.44241,HR
Split,43.50891,16.43915,HR
Osijek,45.55111,18.69389,HR
Zadar,44.11578,15.22514,HR
Karlovac,45.49167,15.55,HR
Pula,44.86833,13.84806,HR
Slavonski Brod,45.16028,18.01556,HR
Varaždin,46.30444,16.33778,HR
Sesvete,45.83111,16.11639,HR
Čakovec,46.38444,16.43389,HR
Dubrovnik,42.64125,18.10909,HR
Koprivnica,46.16278,16.8275,HR
Vukovar,45.35161,19.00225,HR
Požega,45.34028,17.68528,HR
Sisak,45.46611,16.37833,HR
Šibenik,43.73429,15.8942,HR
Bjelovar,45.89861,16.84889,HR
Gospić,44.54611,15.37472,HR
Virovitica,45.83194,17.38389,HR
Pazin,45.24028,13.93667,HR
Donji grad,45.81313,15.97753,HR
Đakovo,45.30833,18.41056,HR
Cres,44.96092,14.41246,HR
Krapina,46.16083,15.87889,HR
Knin,44.04063,16.19662,HR
Zaprešić,45.85639,15.80778,HR
Vinkovci,45.28833,18.80472,HR
Velika Gorica,45.7125,16.07556,HR
Trogir,43.5125,16.25167,HR
