City,Latitude,Longitude,Country Code
Port-au-Prince,18.54349,-72.33881,HT
Port-de-Paix,19.93984,-72.83037,HT
Jacmel,18.23427,-72.53539,HT
Carrefour,18.54114,-72.39922,HT
Cap-Haïtien,19.75938,-72.19815,HT
Pétionville,18.5125,-72.28528,HT
Croix-des-Bouquets,18.57677,-72.22625,HT
Les Cayes,18.19199,-73.74948,HT
Léogâne,18.5111,-72.63343,HT
Jérémie,18.65,-74.11667,HT
Gonaïves,19.44755,-72.68928,HT
Tigwav,18.43117,-72.86521,HT
Miragoâne,18.44599,-73.08957,HT
Delmas,18.54478,-72.30036,HT
Saint-Michel de l'Atalaye,19.37084,-72.33472,HT
Saint-Marc,19.11136,-72.70078,HT
Hinche,19.15,-72.01667,HT
Fort Liberté,19.66273,-71.83798,HT
Thomazeau,18.65297,-72.09391,HT
Saint-Raphaël,19.43877,-72.1991,HT
Saint-Louis du Nord,19.93397,-72.72138,HT
Ouanaminthe,19.54934,-71.72475,HT
Lenbe,19.70603,-72.40336,HT
Borgne,19.84507,-72.52349,HT
Kenscoff,18.44773,-72.28398,HT
Gressier,18.54091,-72.52679,HT
Grangwav,18.4259,-72.76995,HT
Dessalines,19.26177,-72.51611,HT
Verrettes,19.0505,-72.46585,HT
Trou du Nord,19.61668,-72.02442,HT
