City,Latitude,Longitude,Country Code
Jakarta,-6.21462,106.84513,ID
Bandung,-6.92222,107.60694,ID
Surabaya,-7.24917,112.75083,ID
Medan,3.58333,98.66667,ID
Bekasi,-6.2349,106.9896,ID
Semarang,-6.99306,110.42083,ID
Palembang,-2.91673,104.7458,ID
Makassar,-5.14861,119.43194,ID
Denpasar,-8.65,115.21667,ID
Samarinda,-0.49167,117.14583,ID
Pekanbaru,0.51667,101.44167,ID
Padang,-0.94924,100.35427,ID
Bandar Lampung,-5.42917,105.26111,ID
Ambon City,-3.69583,128.18333,ID
Merauke,-8.49958,140.40613,ID
Jayapura,-2.53371,140.71813,ID
Kupang,-10.17083,123.60694,ID
Depok,-6.4,106.81861,ID
Bogor,-6.59444,106.78917,ID
Bengkulu,-3.80044,102.26554,ID
Banjarmasin,-3.31987,114.59075,ID
Mataram,-8.58333,116.11667,ID
Manokwari,-0.86291,134.06402,ID
Manado,1.48218,124.84892,ID
Malang,-7.9797,112.6304,ID
Kendari,-3.9778,122.51507,ID
Jambi City,-1.6,103.61667,ID
Yogyakarta,-7.80139,110.36472,ID
Sorong,-0.87956,131.26104,ID
Serang,-6.11528,106.15417,ID
