City,Latitude,Longitude,Country Code
Jerusalem,31.76904,35.21633,IL
Tel Aviv,32.08088,34.78057,IL
Haifa,32.81841,34.9885,IL
Rishon LeZiyyon,31.97102,34.78939,IL
Netanya,32.33291,34.85992,IL
West Jerusalem,31.78199,35.21961,IL
Ashdod,31.79213,34.64966,IL
Petah Tikva,32.08707,34.88747,IL
Bnei Brak,32.08074,34.8338,IL
Beersheba,31.25181,34.7913,IL
Ramla,31.92923,34.86563,IL
Ramat Gan,32.08227,34.81065,IL
Nazareth,32.70056,35.29722,IL
Holon,32.01034,34.77918,IL
Jaffa,32.05043,34.75224,IL
Eilat,29.55805,34.94821,IL
Bet Shemesh,31.73072,34.99293,IL
Bat Yam,32.02379,34.75185,IL
Ashqelon,31.66926,34.57149,IL
Tabarīya,32.79221,35.53124,IL
Rehovot,31.89421,34.81199,IL
Lod,31.9467,34.8903,IL
Kfar Saba,32.175,34.90694,IL
Herzliya,32.16627,34.82536,IL
Hadera,32.44192,34.9039,IL
Modiin,31.89385,35.01504,IL
Safed,32.96465,35.496,IL
Yavné,31.87808,34.73983,IL
Umm el Faḥm,32.51725,35.15349,IL
Eṭ Ṭaiyiba,32.26616,35.00893,IL
