City,Latitude,Longitude,Country Code
Douglas,54.15,-4.48333,IM
Ramsey,54.32273,-4.38526,IM
Peel,54.22209,-4.69099,IM
Port Erin,54.08487,-4.75099,IM
Laxey,54.23017,-4.39985,IM
Castletown,54.07445,-4.65365,IM
Colby,54.09665,-4.70592,IM
Santon,54.11667,-4.58333,IM
Patrick,54.20447,-4.69417,IM
Onchan,54.17329,-4.45324,IM
Maughold,54.29877,-4.31844,IM
Jurby,54.35941,-4.52199,IM
Crosby,54.18333,-4.56667,IM
Ballasalla,54.0959,-4.62962,IM
Ballabeg,54.1,-4.68333,IM
Andreas,54.36667,-4.43333,IM
Union Mills,54.16957,-4.52019,IM
Sulby,54.32283,-4.47968,IM
Saint Johns,54.2,-4.63333,IM
Port Soderick,54.12865,-4.54113,IM
Port Saint Mary,54.07405,-4.73858,IM
Lezayre,54.31667,-4.41667,IM
Kirkmichael,54.28562,-4.58748,IM
Kirk Braddan,54.16667,-4.51667,IM
Glen Maye,54.18333,-4.7,IM
Foxdale,54.16667,-4.61667,IM
Derbyhaven,54.07646,-4.62353,IM
Dalby,54.16879,-4.72923,IM
Cregneash,54.06961,-4.76841,IM
Bride,54.38256,-4.38921,IM
