City,Latitude,Longitude,Country Code
Mumbai,19.07283,72.88261,IN
Delhi,28.65195,77.23149,IN
Kolkata,22.56263,88.36304,IN
Bengaluru,12.97194,77.59369,IN
Chennai,13.08784,80.27847,IN
Hyderabad,17.38405,78.45636,IN
Ahmedabad,23.02579,72.58727,IN
Pune,18.51957,73.85535,IN
New Delhi,28.62137,77.2148,IN
Surat,21.19594,72.83023,IN
Kanpur,26.46523,80.34975,IN
Chandigarh,30.73629,76.7884,IN
Bhubaneswar,20.27241,85.83385,IN
Bhopal,23.25469,77.40289,IN
Raipur,21.23333,81.63333,IN
Puducherry,11.93381,79.82979,IN
Patna,25.59408,85.13563,IN
Lucknow,26.83928,80.92313,IN
Srinagar,34.08565,74.80555,IN
Ranchi,23.34316,85.3094,IN
Dehradun,30.32443,78.03392,IN
Jaipur,26.91962,75.78781,IN
Thiruvananthapuram,8.4855,76.94924,IN
Amritsar,31.62234,74.87534,IN
Kozhikode,11.24802,75.7804,IN
Kota,25.18254,75.83907,IN
Kohima,25.67467,94.11099,IN
Bhiwandi,19.30023,73.05881,IN
Bhilai,21.20919,81.4285,IN
Bhavnagar,21.76287,72.15331,IN
