City,Latitude,Longitude,Country Code
Reykjavik,64.13548,-21.89541,IS
Hafnarfjordur,64.0671,-21.93774,IS
Kopavogur,64.11234,-21.91298,IS
Akureyri,65.68353,-18.0878,IS
Garðabaer,64.08865,-21.92298,IS
Selfoss,63.93311,-20.99712,IS
Mosfellsbaer,64.16667,-21.7,IS
Keflavik,64.00492,-22.56242,IS
Reykjanesbaer,63.99813,-22.56111,IS
Akranes,64.32179,-22.0749,IS
Isafjordur,66.07475,-23.13498,IS
Borgarnes,64.53834,-21.92064,IS
Egilsstaðir,65.26687,-14.39485,IS
Dalvik,65.97018,-18.52861,IS
Sauðarkrokur,65.74611,-19.63944,IS
Norðurþing,66.04148,-17.33834,IS
Hofn,64.25388,-15.21212,IS
Grindavik,63.83849,-22.43931,IS
Alftanes,64.1,-22.01667,IS
Blonduos,65.65932,-20.28083,IS
Vestmannaeyjar,63.44273,-20.27339,IS
Patreksfjordur,65.59783,-23.99596,IS
Olafsvik,64.89429,-23.70918,IS
Hvolsvollur,63.75069,-20.22454,IS
Hveragerdi,64.00039,-21.18602,IS
Reydarfjordur,65.03164,-14.21832,IS
Vik,63.41944,-19.00972,IS
Siglufjordur,66.15198,-18.90815,IS
Neskaupstaður,65.14819,-13.68368,IS
Hella,63.8348,-20.40084,IS
