City,Latitude,Longitude,Country Code
Rome,41.89193,12.51133,IT
Turin,45.07049,7.68682,IT
Naples,40.85216,14.26811,IT
Milan,45.46427,9.18951,IT
Palermo,38.1166,13.3636,IT
Genoa,44.40478,8.94439,IT
Florence,43.77925,11.24626,IT
Bologna,44.49381,11.33875,IT
Bari,41.12066,16.86982,IT
Catania,37.49223,15.07041,IT
Cagliari,39.23054,9.11917,IT
Rimini,44.05755,12.56528,IT
Trieste,45.64953,13.77678,IT
Modena,44.64783,10.92539,IT
Vatican City,41.90268,12.45414,IT
Syracuse,37.07542,15.28664,IT
Messina,38.19394,15.55256,IT
Catanzaro,38.88247,16.60086,IT
Potenza,40.64175,15.80794,IT
Pisa,43.70853,10.4036,IT
Perugia,43.1122,12.38878,IT
Trento,46.06787,11.12108,IT
Taranto,40.46438,17.24707,IT
Verona,45.43854,10.9938,IT
Venice,45.43713,12.33265,IT
Ancona,43.5942,13.50337,IT
Padua,45.40797,11.88586,IT
Livorno,43.54427,10.32615,IT
Forlì,44.22177,12.04144,IT
Ferrara,44.83804,11.62057,IT
