City,Latitude,Longitude,Country Code
Saint Helier,49.18804,-2.10491,JE
Saint John,49.24556,-2.13861,JE
Le Hocq,49.16823,-2.06178,JE
Saint Ouen’s Bay,49.22135,-2.21387,JE
Saint Aubin,49.1875,-2.17056,JE
Gorey,49.19937,-2.02826,JE
Belle Vue,49.19139,-2.17306,JE
Trinity,49.23408,-2.09272,JE
St Clement,49.17404,-2.05715,JE
La Fosse,49.17472,-2.18056,JE
Mont Mado,49.24694,-2.12417,JE
Ville des Quennevais,49.20194,-2.20028,JE
Mont Fiquet,49.17972,-2.21417,JE
Ville ès Nouaux,49.19472,-2.12861,JE
La Ville au Bas,49.22766,-2.21563,JE
Ville Bagot,49.24265,-2.20722,JE
Perruque,49.25167,-2.14417,JE
Vinchelez de Haut Manor,49.24475,-2.21851,JE
Vinchelez de Bas Manor,49.24643,-2.21705,JE
Rozel,49.23639,-2.04611,JE
L’Etacq,49.23534,-2.23516,JE
Les Creux,49.18056,-2.20556,JE
La Villaise,49.24083,-2.23667,JE
Portinfer,49.25019,-2.2258,JE
Le Rondin,49.23889,-2.18111,JE
La Falaise,49.24944,-2.16889,JE
Grand Mourier,49.25528,-2.14833,JE
Six Rues,49.23333,-2.15,JE
Millbrook,49.19861,-2.13833,JE
Lower Blanc Pignon,49.19472,-2.16222,JE
