City,Latitude,Longitude,Country Code
Kingston,17.99702,-76.79358,JM
Spanish Town,17.99107,-76.95742,JM
New Kingston,18.00747,-76.78319,JM
Montego Bay,18.47116,-77.91883,JM
Portmore,17.97102,-76.88691,JM
Mandeville,18.04168,-77.50714,JM
Old Harbour,17.94144,-77.10898,JM
May Pen,17.96454,-77.24515,JM
Linstead,18.13683,-77.03171,JM
Half Way Tree,18.01248,-76.79928,JM
Savanna-la-Mar,18.21895,-78.1332,JM
St Ann's Bay,18.43581,-77.20098,JM
Port Royal,17.93738,-76.84062,JM
Port Antonio,18.17889,-76.45215,JM
Port Maria,18.36849,-76.88946,JM
Ocho Rios,18.4076,-77.10312,JM
Negril,18.26844,-78.3481,JM
Morant Bay,17.88145,-76.40927,JM
Lucea,18.45095,-78.17356,JM
Falmouth,18.49358,-77.65587,JM
Ewarton,18.18333,-77.08536,JM
Bog Walk,18.10205,-77.00541,JM
Black River,18.02636,-77.84873,JM
Above Rocks,18.10678,-76.87608,JM
Yallahs,17.8748,-76.56245,JM
Williamsfield,18.06667,-77.46667,JM
Wakefield,18.41211,-77.72183,JM
Ulster Spring,18.31482,-77.52067,JM
Trinity Ville,17.96076,-76.51427,JM
Stony Hill,18.07716,-76.79,JM
