City,Latitude,Longitude,Country Code
Tokyo,35.6895,139.69171,JP
Sapporo,43.06667,141.35,JP
Nagoya,35.18147,136.90641,JP
Osaka,34.69379,135.50107,JP
Yokohama,35.43333,139.65,JP
Kyoto,35.02107,135.75385,JP
Kobe,34.6913,135.183,JP
Fukuoka,33.6,130.41667,JP
Kawasaki,35.52056,139.71722,JP
Saitama,35.90807,139.65657,JP
Sendai,38.26667,140.86667,JP
Chiba,35.6,140.11667,JP
Matsuyama,33.83916,132.76574,JP
Niigata,37.92259,139.04125,JP
Takamatsu,34.33333,134.05,JP
Shizuoka,34.98333,138.38333,JP
Hiroshima,34.4,132.45,JP
Aomori,40.81667,140.73333,JP
Yamagata,38.23333,140.36667,JP
Morioka,39.7,141.15,JP
Mito,36.35,140.45,JP
Fukushima,37.75,140.46667,JP
Akita,39.71667,140.11667,JP
Hakodate,41.77583,140.73667,JP
Wakayama,34.23333,135.16667,JP
Okayama,34.65,133.93333,JP
Ōita,33.23333,131.6,JP
Nara,34.68505,135.80485,JP
Naha,26.213,127.67851,JP
Nagasaki,32.75,129.88333,JP
