City,Latitude,Longitude,Country Code
Kakamega,0.28422,34.75229,KE
Mombasa,-4.05466,39.66359,KE
Nairobi,-1.28333,36.81667,KE
Ruiru,-1.14665,36.96087,KE
Eldoret,0.52036,35.26993,KE
Kitale,1.01572,35.00622,KE
Kikuyu,-1.24627,36.66291,KE
Garissa,-0.45275,39.64601,KE
Kisumu,-0.10221,34.76171,KE
Nakuru,-0.30719,36.07225,KE
Wajir,1.7471,40.05732,KE
Embu,-0.53987,37.45743,KE
Mandera,3.93726,41.85688,KE
Malindi,-3.21799,40.11692,KE
Machakos,-1.52233,37.26521,KE
Lodwar,3.11988,35.59642,KE
Kisii,-0.68174,34.76666,KE
Kiambu,-1.17139,36.83556,KE
Nyeri,-0.42013,36.94759,KE
Thika,-1.03326,37.06933,KE
Kericho,-0.36774,35.28314,KE
Karuri,-0.7,37.18333,KE
Kapenguria,1.23889,35.11194,KE
Isiolo,0.35462,37.58218,KE
Mbale,0.08213,34.72139,KE
Limuru,-1.1136,36.64205,KE
Ongata Rongai,-1.3953,36.764,KE
Lamu,-2.27169,40.90201,KE
Kilifi,-3.63045,39.84992,KE
Ngong,-1.3527,36.6699,KE
