City,Latitude,Longitude,Country Code
Phnom Penh,11.56245,104.91601,KH
Battambang,13.10271,103.19822,KH
Takeo,10.99081,104.78498,KH
Siem Reap,13.36179,103.86056,KH
Poipet,13.65805,102.56365,KH
Sihanoukville,10.60932,103.52958,KH
Kampong Chhnang,12.25,104.66667,KH
Kampong Cham,11.99339,105.4635,KH
Ta Khmau,11.48333,104.95,KH
Pursat,12.53878,103.9192,KH
Tbeng Meanchey,13.80731,104.98046,KH
Koh Kong,11.61531,102.9838,KH
Kampot,10.61041,104.18145,KH
Samraong,14.18175,103.51761,KH
Pailin,12.84895,102.60928,KH
Krong Kep,10.48291,104.31672,KH
Kratié,12.48811,106.01879,KH
Kampong Thom,12.71112,104.88873,KH
Kampong Speu,11.45332,104.52085,KH
Banlung,13.73939,106.98727,KH
Svay Rieng,11.08785,105.79935,KH
Suong,11.91178,105.65821,KH
Stung Treng,13.52586,105.9683,KH
Sisophon,13.58588,102.97369,KH
Sen Moronom,12.45583,107.18811,KH
Prey Veng,11.48682,105.32533,KH
Mlu Prey Muoy,13.80958,105.27604,KH
Snuol,12.07244,106.42078,KH
Smach Mean Chey,11.54665,103.03569,KH
Setbou,11.44752,105.03719,KH
