City,Latitude,Longitude,Country Code
Tarawa,1.3278,172.97696,KI
Teaoraereke Village,1.33309,173.01162,KI
Betio Village,1.35797,172.92105,KI
Bairiki Village,1.32924,172.97522,KI
Bikenibeu Village,1.3673,173.12415,KI
Eita Village,1.36154,173.08113,KI
Bonriki Village,1.38081,173.13887,KI
Tabwakea Village,2.01643,-157.48773,KI
Temaiku Village,1.36292,173.16226,KI
Makin Village,3.3644,172.98352,KI
London,1.98487,-157.47502,KI
Rawannawi Village,2.05379,173.26354,KI
Ambo Village,1.35317,173.04259,KI
Paelau,3.8549,-159.36023,KI
Utiroa,-1.21268,174.75677,KI
Toboiaki Village,-0.73842,174.45422,KI
Ubanteman Village,1.93501,172.93141,KI
Teteirio Village,-1.34313,175.99926,KI
Terikiai,-1.16466,174.71881,KI
Matang Village,-0.67058,174.44954,KI
Tebunginako Village,1.91657,172.94588,KI
Tebikerai Village,1.00789,173.00392,KI
Tanaeang Village,-1.13765,174.67741,KI
Takarano,1.94987,172.91227,KI
Tabutoa Village,-1.33176,176.42374,KI
Taburao Village,1.85372,172.99744,KI
Tabukiniberu Village,-1.33781,175.98449,KI
Taborio Village,1.52009,173.00302,KI
Tabontebike Village,1.72545,172.98965,KI
Tabomatang Village,-1.39711,176.48118,KI
