City,Latitude,Longitude,Country Code
Basseterre,17.2955,-62.72499,KN
Market Shop,17.13218,-62.57267,KN
Fig Tree,17.12623,-62.60265,KN
Trinity,17.30037,-62.77584,KN
Saint Paul’s,17.40605,-62.83562,KN
Nicola Town,17.37956,-62.75318,KN
Middle Island,17.3259,-62.81055,KN
Charlestown,17.13333,-62.61667,KN
Cayon,17.35,-62.73333,KN
Sandy Point Town,17.35908,-62.84858,KN
Old Road Town,17.32215,-62.80337,KN
Sadlers,17.40454,-62.79296,KN
Newcastle,17.2,-62.58333,KN
Dieppe Bay Town,17.41473,-62.8139,KN
Cotton Ground,17.16667,-62.61667,KN
Tabernacle,17.3866,-62.77386,KN
Newton Ground,17.38761,-62.85197,KN
Monkey Hill,17.32327,-62.72914,KN
Mannings,17.16518,-62.54899,KN
Challengers,17.30395,-62.78487,KN
Brick Kiln,17.17532,-62.55345,KN
Boyd’s,17.29779,-62.77021,KN
Bath,17.12986,-62.62713,KN
Zion,17.14157,-62.56109,KN
Parry’s,17.32339,-62.72977,KN
Molineux,17.36988,-62.75506,KN
Low Ground Settlement,17.11735,-62.60399,KN
Kit Stoddart,17.29879,-62.72207,KN
Buck’s Hill,17.12625,-62.56403,KN
Wingfield Manor,17.33333,-62.78333,KN
