City,Latitude,Longitude,Country Code
George Town,19.2866,-81.37436,KY
West Bay,19.38197,-81.39281,KY
Bodden Town,19.27647,-81.2542,KY
North Side,19.35,-81.2,KY
East End,19.3,-81.11667,KY
Little Cayman,19.66114,-80.10984,KY
South Town,19.65939,-80.08382,KY
Whitehall Estates,19.31313,-81.38208,KY
Red Bay Estate,19.28724,-81.34125,KY
Old Man Bay,19.34419,-81.17652,KY
Newlands,19.28542,-81.302,KY
Gun Bay,19.31077,-81.09202,KY
West End,19.69192,-79.8816,KY
Water Ground,19.37581,-81.40026,KY
Vicksville,19.37754,-81.41637,KY
Upper Land,19.36258,-81.38703,KY
Tropical Gardens,19.29124,-81.34894,KY
Town Hall Crescent,19.37462,-81.40655,KY
Tibbetts Turn,19.73345,-79.78374,KY
The Moorings,19.73128,-79.79411,KY
The Moorings,19.73333,-79.78333,KY
The Common,19.3793,-81.40102,KY
Spotts,19.2742,-81.31256,KY
Spot Bay,19.75433,-79.74592,KY
Savannah,19.2806,-81.29866,KY
Sand Bluff,19.31788,-81.08802,KY
Saint James,19.26713,-81.28887,KY
Prospect Park,19.28072,-81.3302,KY
Prospect,19.27971,-81.33277,KY
Pedro,19.27581,-81.27487,KY
