City,Latitude,Longitude,Country Code
Vientiane,17.96667,102.6,LA
Savannakhet,16.5703,104.7622,LA
Pakse,15.12022,105.79898,LA
Thakhek,17.41027,104.83068,LA
Luang Prabang,19.8933,102.1525,LA
Xam Nua,20.4164,104.045,LA
Muang Xay,20.69229,101.98368,LA
Vang Vieng,18.9235,102.44784,LA
Muang Phônsavan,19.4494,103.1917,LA
Pakxan,18.3942,103.6611,LA
Ban Houayxay,20.27,100.4178,LA
Sainyabuli,19.25756,101.71032,LA
Luang Namtha,20.9486,101.40188,LA
Attopu,14.81071,106.83184,LA
Salavan,15.71652,106.41744,LA
Phôngsali,21.6808,102.1003,LA
Muang Phôn-Hông,18.4953,102.4153,LA
Champasak,14.89204,105.87787,LA
Ban Muang-Ou-Nua,22.29772,101.7943,LA
Sekong,15.34582,106.72368,LA
Borikhan,18.56286,103.72671,LA
Lamam,15.41705,106.69461,LA
Ban Vanghai,16.78962,106.28548,LA
Ban Longchèng,19.10913,102.92242,LA
Ban Sôp-Hao,20.56241,104.44789,LA
Ban Xèpôn,16.68083,106.23896,LA
Ban Thatèng,15.43317,106.38272,LA
Muang Không,14.11785,105.85469,LA
Hongsa,19.7025,101.33972,LA
Phonsavan,19.45011,103.18804,LA
