City,Latitude,Longitude,Country Code
Castries,13.9957,-61.00614,LC
Soufrière,13.85616,-61.0566,LC
Micoud,13.81667,-60.9,LC
Bisee,14.02429,-60.97445,LC
Praslin,13.87545,-60.89717,LC
Canaries,13.90224,-61.06459,LC
Gros Islet,14.06667,-60.95,LC
Vieux Fort,13.71667,-60.95,LC
Laborie,13.75,-60.98333,LC
Dennery,13.91409,-60.89132,LC
Choiseul,13.77273,-61.04931,LC
Anse La Raye,13.94619,-61.03879,LC
Vigie,14.01858,-60.99537,LC
Soucis,13.97751,-60.99922,LC
Mon Repos,13.85977,-60.90225,LC
Monchy,14.05319,-60.92987,LC
Marc Marc,13.95131,-60.95901,LC
La Tourney,13.73718,-60.95706,LC
Chassin,13.99238,-60.92636,LC
Babonneau,14.00374,-60.94324,LC
Au Tabor,13.9461,-61.04128,LC
Roseau,13.95368,-61.02442,LC
River Dorée,13.76373,-61.03647,LC
Morne Fortune,13.99502,-60.99772,LC
Malgrétoute,13.8413,-61.06087,LC
Fond Saint Jacques,13.8333,-61.0167,LC
Troumasse,13.81667,-60.91667,LC
Savannes Estate,13.76905,-60.92983,LC
Saint Urbain,13.76081,-60.94386,LC
Réduit,14.06866,-60.95485,LC
