City,Latitude,Longitude,Country Code
Vaduz,47.14151,9.52154,LI
Triesen,47.10752,9.52815,LI
Schaan,47.16498,9.50867,LI
Triesenberg,47.11815,9.54197,LI
Mauren,47.21805,9.5442,LI
Eschen,47.21071,9.52223,LI
Balzers,47.06665,9.50251,LI
Schellenberg,47.23123,9.54678,LI
Ruggell,47.23799,9.5254,LI
Gamprin,47.22038,9.50935,LI
Planken,47.18516,9.54437,LI
Nendeln,47.19846,9.543,LI
Schaanwald,47.21187,9.5624,LI
Mäls,47.06105,9.49568,LI
Wangerberg,47.10589,9.54463,LI
Rotenboden,47.12972,9.53802,LI
Silum,47.13183,9.55377,LI
Masescha,47.13271,9.54454,LI
Möliholz,47.15569,9.51111,LI
Bendern,47.21199,9.50678,LI
Malbun,47.10139,9.60986,LI
Steg,47.11266,9.57536,LI
Ebaholz,47.1488,9.51287,LI
Hinterschellenberg,47.24102,9.55879,LI
Valüna,47.08488,9.58809,LI
Vorderer Schellenberg,47.22802,9.53902,LI
Mittlerer Schellenberg,47.23148,9.54653,LI
Lavadina,47.11459,9.55545,LI
Loch,47.22853,9.53413,LI
Betsche,47.22708,9.54814,LI
