City,Latitude,Longitude,Country Code
Colombo,6.93548,79.84868,LK
Jaffna,9.66845,80.00742,LK
Dehiwala-Mount Lavinia,6.84019,79.87116,LK
Kandy,7.2906,80.6336,LK
Maharagama,6.848,79.9265,LK
Sri Jayewardenepura Kotte,6.88297,79.90708,LK
Moratuwa,6.773,79.8816,LK
Negombo,7.2083,79.8358,LK
Trincomalee,8.5778,81.2289,LK
Pita Kotte,6.8905,79.9015,LK
Galle,6.0461,80.2103,LK
Anuradhapura,8.31223,80.41306,LK
Batticaloa,7.7102,81.6924,LK
Kalmunai,7.40902,81.83472,LK
Matara,5.94851,80.53528,LK
Kurunegala,7.4839,80.3683,LK
Point Pedro,9.81667,80.23333,LK
Dambulla,7.86,80.65167,LK
Badulla,6.9802,81.0577,LK
Valvettithurai,9.81667,80.16667,LK
Ratnapura,6.6858,80.4036,LK
Kotikawatta,6.9269,79.9095,LK
Kolonnawa,6.9329,79.8848,LK
Katunayaka,7.16992,79.88837,LK
Kalutara,6.5831,79.9593,LK
Matale,7.4698,80.6217,LK
Puttalam,8.0362,79.8283,LK
Polonnaruwa,7.93965,81.00274,LK
Panadura,6.7132,79.9026,LK
Nuwara Eliya,6.97078,80.78286,LK
