City,Latitude,Longitude,Country Code
Monrovia,6.30054,-10.7969,LR
Yekepa,7.57944,-8.53778,LR
Gbarnga,6.99543,-9.47122,LR
Buchanan,5.87693,-10.04964,LR
Sanniquellie,7.36215,-8.71326,LR
Kakata,6.53104,-10.35368,LR
Zwedru,6.06846,-8.13559,LR
Voinjama,8.42194,-9.74778,LR
Tubmanburg,6.87064,-10.8211,LR
Robertsport,6.75329,-11.3671,LR
River Cess,5.45683,-9.58167,LR
Harper,4.3782,-7.71081,LR
Greenville,5.01133,-9.0388,LR
Ganta,7.235,-8.98444,LR
Fish Town,5.19739,-7.87579,LR
Saclepea,6.9625,-8.84056,LR
Pleebo,4.58953,-7.67218,LR
Harbel,6.24683,-10.35642,LR
Ganta,7.30222,-8.53083,LR
Foya Kamara,8.36028,-10.20639,LR
Bopolu,7.06667,-10.4875,LR
Bensonville,6.44716,-10.61283,LR
Barclayville,4.67443,-8.23306,LR
Zorzor,7.77944,-9.43028,LR
Zeekapa,6.65083,-9.11639,LR
Zayglay,7.06722,-8.73556,LR
Weteken,4.54853,-7.8903,LR
Vahnplay,6.45722,-8.9075,LR
Tapeta,6.49222,-8.86028,LR
Siaplay,7.11528,-8.64917,LR
