City,Latitude,Longitude,Country Code
Maseru,-29.31667,27.48333,LS
Nako,-29.61667,27.76667,LS
Teyateyaneng,-29.14719,27.74895,LS
Quthing,-30.40001,27.70027,LS
Qacha's Nek,-30.11537,28.68936,LS
Mohale's Hoek,-30.15137,27.47691,LS
Maputsoe,-28.8866,27.89915,LS
Mafeteng,-29.82299,27.23744,LS
Hlotse,-28.87185,28.04501,LS
Butha-Buthe,-28.76659,28.24937,LS
Roma,-29.44667,27.70806,LS
Mokhotlong,-29.28939,29.06751,LS
Mazenod,-29.41896,27.56893,LS
Thaba-Tseka,-29.52204,28.6084,LS
Sekake,-30,28.35,LS
Sehonghong,-29.77826,28.79745,LS
Sefikeng,-29.27894,27.80765,LS
Pitseng,-29.00699,28.21328,LS
Phamong,-30.24809,27.8014,LS
Peka,-28.96883,27.76258,LS
Mount Moorosi,-30.2731,27.87076,LS
Morija,-29.62982,27.51351,LS
Marakabei,-29.54498,28.14148,LS
Mapoteng,-29.10979,27.9741,LS
Mantsonyane,-29.53317,28.26991,LS
Thaba Bosigo,-29.3451,27.67134,LS
Tajane,-29.71058,27.48341,LS
Seforong,-30.05252,28.24791,LS
Ratau,-29.3611,27.73457,LS
Ramatseliso,-30.04965,28.93315,LS
