City,Latitude,Longitude,Country Code
Vilnius,54.68916,25.2798,LT
Klaipėda,55.7068,21.13912,LT
Kaunas,54.90272,23.90961,LT
Šiauliai,55.93333,23.31667,LT
Panevezys,55.73186,24.35983,LT
Alytus,54.39635,24.04142,LT
Dainava (Kaunas),54.91525,23.96831,LT
Marijampolė,54.55991,23.35412,LT
Utena,55.49764,25.59918,LT
Telšiai,55.98139,22.24722,LT
Šilainiai,54.92911,23.88599,LT
Eiguliai,54.93133,23.93243,LT
Antakalnis,54.70781,25.31706,LT
Ukmerge,55.25,24.75,LT
Tauragė,55.25222,22.28972,LT
Gargždai,55.70951,21.39441,LT
Elektrėnai,54.78544,24.66302,LT
Druskininkai,54.01573,23.98703,LT
Biržai,56.2,24.75,LT
Anykščiai,55.52557,25.10264,LT
Palanga,55.9175,21.06861,LT
Naujoji Vilnia,54.69515,25.41969,LT
Naujoji Akmenė,56.31667,22.9,LT
Mažeikiai,56.31667,22.33333,LT
Lentvaris,54.64364,25.05162,LT
Kuršėnai,56.00318,22.93662,LT
Kėdainiai,55.28782,23.97275,LT
Joniškis,56.23939,23.61541,LT
Jonava,55.08014,24.27544,LT
Trakai,54.63783,24.93433,LT
