City,Latitude,Longitude,Country Code
Luxembourg,49.61167,6.13,LU
Esch-sur-Alzette,49.49583,5.98056,LU
Dudelange,49.48056,6.0875,LU
Diekirch,49.86778,6.15583,LU
Bettembourg,49.51861,6.10278,LU
Schifflange,49.50639,6.01278,LU
Pétange,49.55833,5.88056,LU
Ettelbruck,49.8475,6.10417,LU
Strassen,49.62056,6.07333,LU
Mersch,49.74889,6.10611,LU
Mamer,49.6275,6.02333,LU
Lamadelaine,49.54639,5.85639,LU
Kayl,49.48917,6.03972,LU
Grevenmacher,49.67751,6.44022,LU
Echternach,49.81212,6.41846,LU
Differdange,49.52417,5.89139,LU
Bridel,49.65579,6.07999,LU
Béreldange,49.65507,6.11874,LU
Belvaux,49.51014,5.92414,LU
Wiltz,49.96547,5.9339,LU
Wasserbillig,49.71534,6.49861,LU
Soleuvre,49.52148,5.93781,LU
Rodange,49.54639,5.84083,LU
Remich,49.545,6.36694,LU
Niedercorn,49.53611,5.89306,LU
Müllendorf,49.68028,6.13,LU
Moutfort,49.58528,6.25556,LU
Mondorf-les-Bains,49.505,6.28111,LU
Mondercange,49.53306,5.98833,LU
Mertert,49.70261,6.47966,LU
