City,Latitude,Longitude,Country Code
Riga,56.946,24.10589,LV
Daugavpils,55.88333,26.53333,LV
Liepāja,56.50474,21.01085,LV
Jūrmala,56.968,23.77038,LV
Jelgava,56.65,23.71278,LV
Valmiera,57.54108,25.42751,LV
Ventspils,57.39485,21.56121,LV
Rēzekne,56.51028,27.34,LV
Jēkabpils,56.49903,25.85735,LV
Ogre,56.8162,24.61401,LV
Tukums,56.96764,23.15554,LV
Talsi,57.24562,22.58137,LV
Sigulda,57.15375,24.85953,LV
Salaspils,56.86014,24.36544,LV
Dobele,56.62372,23.2751,LV
Cēsis,57.31188,25.27456,LV
Bauska,56.40794,24.19443,LV
Ludza,56.53958,27.71891,LV
Kuldīga,56.97399,21.95721,LV
Krāslava,55.89514,27.16799,LV
Valka,57.7752,26.01013,LV
Saulkrasti,57.26224,24.41471,LV
Saldus,56.66363,22.48807,LV
Gulbene,57.17767,26.75291,LV
Balvi,57.1313,27.26583,LV
Alūksne,57.42162,27.04662,LV
Aizkraukle,56.60477,25.25534,LV
Ainaži,57.86348,24.35853,LV
Preiļi,56.29444,26.72459,LV
Madona,56.85329,26.21698,LV
