City,Latitude,Longitude,Country Code
Tripoli,32.88743,13.18733,LY
Al Khums,32.64861,14.26191,LY
Benghazi,32.11486,20.06859,LY
Zawiya,32.75222,12.72778,LY
Az Zāwīyah,32.7571,12.72764,LY
Darnah,32.76704,22.63669,LY
Tobruk,32.08963,23.95385,LY
Al Bayḑā’,32.76272,21.75506,LY
Ajdabiya,30.75545,20.22625,LY
Sirte,31.20892,16.58866,LY
Sabha,27.03766,14.42832,LY
Misratah,32.37535,15.09254,LY
Al Ajaylat,32.75718,12.37633,LY
Al Marj,32.49257,20.82909,LY
Zliten,32.46739,14.56874,LY
Şabrātah,32.79335,12.48845,LY
Qaşr Bin Ghashīr,32.68333,13.18333,LY
Murzuk,25.91552,13.91839,LY
Janzūr,32.81868,13.01727,LY
Gharyan,32.17222,13.02028,LY
Bani Walid,31.74554,13.98354,LY
Al Jumayl,32.85286,12.0612,LY
Al ‘Azīzīyah,32.53194,13.0175,LY
Zuwarah,32.9312,12.08199,LY
Al Jawf,24.1989,23.29093,LY
Tarhuna,32.43501,13.6332,LY
Tājūrā’,32.88167,13.35056,LY
Şurmān,32.75668,12.57159,LY
Qaşr al Qarabūllī,32.74506,13.71467,LY
Nālūt,31.86848,10.9812,LY
