City,Latitude,Longitude,Country Code
Rabat,34.01325,-6.83255,MA
Agadir,30.42018,-9.59815,MA
Casablanca,33.58831,-7.61138,MA
Laayoune,27.1418,-13.18797,MA
Tangier,35.76727,-5.79975,MA
Fes,34.03313,-5.00028,MA
Marrakesh,31.63416,-7.99994,MA
Dakhla,23.68477,-15.95798,MA
Salé,34.0531,-6.79846,MA
Oujda,34.68139,-1.90858,MA
Guelmim,28.98696,-10.05738,MA
El Jadida,33.25682,-8.50882,MA
Beni Mellal,32.33725,-6.34983,MA
Al Hoceima,35.25165,-3.93723,MA
Kenitra,34.26101,-6.5802,MA
Safi,32.29939,-9.23718,MA
Nador,35.16813,-2.93352,MA
Tétouan,35.57845,-5.36837,MA
Essaouira,31.5125,-9.77,MA
Mohammedia,33.68607,-7.38298,MA
Meknes,33.89352,-5.54727,MA
Larache,35.19321,-6.15572,MA
Errachidia,31.9314,-4.42663,MA
Sidi Kacem,34.22149,-5.70775,MA
Settat,33.00103,-7.61662,MA
Oued Zem,32.8627,-6.57359,MA
Ouarzazate,30.91894,-6.89341,MA
Taza,34.21,-4.01,MA
Taroudant,30.47028,-8.87695,MA
Tan-Tan,28.43799,-11.10321,MA
