City,Latitude,Longitude,Country Code
Chișinău,47.00556,28.8575,MD
Tiraspol,46.84274,29.62909,MD
Tighina,46.83156,29.47769,MD
Bălţi,47.76314,27.92932,MD
Rîbnița,47.76817,29.01,MD
Cahul,45.90425,28.19929,MD
Ungheni,47.21079,27.80047,MD
Soroca,48.15659,28.28489,MD
Orhei,47.38494,28.82446,MD
Dubăsari,47.26562,29.16667,MD
Hînceşti,46.83047,28.59064,MD
Căușeni,46.63674,29.41114,MD
Ialoveni,46.94346,28.78233,MD
Comrat,46.29456,28.6565,MD
Basarabeasca,46.3317,28.96365,MD
Edineţ,48.17215,27.30337,MD
Teleneşti,47.5011,28.36536,MD
Taraclia,45.90273,28.66816,MD
Strășeni,47.14216,28.60774,MD
Şoldăneşti,47.81608,28.79718,MD
Rîşcani,47.94792,27.56376,MD
Anenii Noi,46.87839,29.23483,MD
Nisporeni,47.08159,28.17138,MD
Leova,46.4823,28.25301,MD
Sîngerei,47.63632,28.14296,MD
Glodeni,47.77513,27.51891,MD
Floreşti,47.89137,28.29312,MD
Fălești,47.57667,27.71264,MD
Drochia,48.03555,27.81293,MD
Criuleni,47.21307,29.15926,MD
