City,Latitude,Longitude,Country Code
Marigot,18.06819,-63.08302,MF
Grand-Case,18.10476,-63.05358,MF
Colombier,18.07193,-63.0601,MF
Quartier de Grand’ Case,18.08333,-63.06667,MF
Cul-de-Sac,18.10156,-63.03032,MF
Les Terres Basses,18.06959,-63.14233,MF
Sandy Ground,18.05851,-63.09944,MF
Galisbay,18.07208,-63.08154,MF
Agrément,18.07514,-63.07826,MF
Saint-Louis,18.08441,-63.07029,MF
Espérance,18.0954,-63.03618,MF
Saint-James,18.06454,-63.08554,MF
Rambaud,18.08224,-63.06631,MF
Quartier d’Orléans,18.06912,-63.03542,MF
Hameau du Pont,18.07212,-63.07804,MF
Orient Bay,18.08993,-63.01874,MF
Baie Nettle,18.06191,-63.11178,MF
Lacolombe,18.05986,-63.07191,MF
Concordia,18.06489,-63.07794,MF
Valois,18.08168,-63.07437,MF
Cripple Gate,18.08072,-63.07099,MF
Bienvenue,18.08502,-63.07863,MF
La Batterie,18.08934,-63.07792,MF
La Savane,18.09695,-63.0662,MF
Industrie,18.10324,-63.0472,MF
Anse Marcel,18.11049,-63.03751,MF
Parc de la Baie Orientale,18.08643,-63.02552,MF
Spring,18.07705,-63.02652,MF
Mont Saline,18.06687,-63.03111,MF
Belle Plaine,18.06004,-63.0446,MF
