City,Latitude,Longitude,Country Code
Antananarivo,-18.91368,47.53613,MG
Antsiranana,-12.31732,49.29188,MG
Antsirabe,-19.86586,47.03333,MG
Mahajanga,-15.71667,46.31667,MG
Fianarantsoa,-21.45267,47.08569,MG
Toamasina,-18.1492,49.40234,MG
Toliara,-23.35,43.66667,MG
Sambava,-14.26667,50.16667,MG
Antanifotsy,-19.65,47.31667,MG
Morondava,-20.28869,44.31782,MG
Manakara,-22.14862,48.01055,MG
Tôlanaro,-25.03249,46.98329,MG
Ambovombe,-25.17838,46.08722,MG
Ambatondrazaka,-17.83333,48.41667,MG
Antsohihy,-14.87959,47.98751,MG
Antalaha,-14.90033,50.27876,MG
Moramanga,-18.94948,48.23007,MG
Miarinarivo,-18.95873,46.90553,MG
Maintirano,-18.06354,44.02951,MG
Maevatanana,-16.95,46.83333,MG
Imerintsiatosika,-18.98333,47.31667,MG
Ihosy,-22.40293,46.12576,MG
Fenoarivo Atsinanana,-17.38095,49.40826,MG
Farafangana,-22.82223,47.82615,MG
Tsiroanomandidy,-18.76969,46.04653,MG
Andoany,-13.39718,48.26663,MG
Ambositra,-20.53034,47.24344,MG
Ambanja,-13.669,48.453,MG
Betroka,-23.26667,46.08333,MG
Betioky,-23.72065,44.38069,MG
