City,Latitude,Longitude,Country Code
Majuro,7.08971,171.38027,MH
Ebaye,8.77479,167.73919,MH
Arno,7.06691,171.55413,MH
Jabor,5.92098,169.64335,MH
Wotje,9.45429,170.23674,MH
Mili,6.0815,171.73502,MH
Namdrik,5.59944,168.10282,MH
Ebon,4.58199,168.69636,MH
Kili,5.64387,169.12109,MH
Likiep,9.82511,169.31065,MH
Taroa,8.70576,171.2275,MH
Enuebing,7.27912,168.76966,MH
Ebeye,8.77889,167.73806,MH
Lae,8.92217,166.26344,MH
Utrik,11.22778,169.84739,MH
Ujae,8.93218,165.76416,MH
Rongelap,11.16351,166.89408,MH
Lib,8.31221,167.37662,MH
Ajeltake,7.07466,171.17137,MH
Rairok,7.07185,171.31132,MH
Jeh,7.48784,168.939,MH
Ailuk,10.21972,169.97967,MH
Laura,7.14654,171.03704,MH
Ebadon,9.3245,166.83118,MH
Enewetak,11.34735,162.33733,MH
Aur,8.1499,171.16869,MH
Airok,7.27717,168.8203,MH
Loen,7.76007,168.23072,MH
Mejit,10.27531,170.86461,MH
Jabat,7.75003,168.97513,MH
