City,Latitude,Longitude,Country Code
Bamako,12.65,-8,ML
Timbuktu,16.77348,-3.00742,ML
Kayes,14.44693,-11.44448,ML
Gao,16.27167,-0.04472,ML
Sikasso,11.31755,-5.66654,ML
Ségou,13.44032,-6.25947,ML
Mopti,14.4843,-4.18296,ML
Markala,13.68427,-6.07352,ML
Koulikoro,12.86273,-7.55985,ML
Kolokani,13.5728,-8.0339,ML
Koutiala,12.39173,-5.46421,ML
Kidal,18.44111,1.40778,ML
Kati,12.74409,-8.07257,ML
Kalaban Koro,12.57329,-8.02907,ML
Djenné,13.90608,-4.55332,ML
Bougouni,11.41769,-7.48323,ML
Kita,13.0349,-9.4895,ML
Pèlèngana,13.4274,-6.222,ML
Fana,12.7787,-6.9564,ML
Taoudenni,22.67443,-3.97891,ML
San,13.30335,-4.89562,ML
Nioro,15.22932,-9.59277,ML
Ménaka,15.9182,2.4022,ML
Dialakorodji,12.70354,-7.96463,ML
Zégoua,10.48804,-5.64943,ML
Diré,16.25705,-3.40126,ML
Diéma,14.54,-9.1921,ML
Bourem,16.955,-0.34861,ML
Bla,12.95007,-5.76024,ML
Bandiagara,14.35005,-3.61038,ML
