City,Latitude,Longitude,Country Code
Mandalay,21.97473,96.08359,MM
Yangon,16.80528,96.15611,MM
Nay Pyi Taw,19.745,96.12972,MM
Mawlamyine,16.49051,97.62825,MM
Bago,17.33521,96.48135,MM
Pathein,16.77919,94.73212,MM
Monywa,22.10856,95.13583,MM
Sittwe,20.14624,92.89835,MM
Meiktila,20.87776,95.85844,MM
Dawei,14.0823,98.19151,MM
Taunggyi,20.78919,97.03776,MM
Kyain Seikgyi Township,15.82288,98.25257,MM
Taungoo,18.94291,96.43408,MM
Lashio,22.9359,97.7498,MM
Myitkyina,25.38327,97.39637,MM
Pyinmana,19.7381,96.20742,MM
Pakokku,21.33489,95.08438,MM
Hpa-An,16.88953,97.63482,MM
Magway,20.14956,94.93246,MM
Myingyan,21.46002,95.3884,MM
Myeik,12.43954,98.60028,MM
Pyin Oo Lwin,22.03501,96.45683,MM
Kēng Tung,21.63093,99.92676,MM
Kawthaung,9.98238,98.55034,MM
Thaton,16.91867,97.37001,MM
Prome,18.81996,95.21562,MM
Hinthada,17.64944,95.45705,MM
Yenangyaung,20.46504,94.8712,MM
Thongwa,16.75998,96.52498,MM
Thayetmyo,19.32076,95.18272,MM
