City,Latitude,Longitude,Country Code
Saipan,15.21233,145.7545,MP
San Jose,14.96823,145.61998,MP
Pagan Village,18.12539,145.75938,MP
Carolinas Heights,14.96655,145.64914,MP
Alamagan Village,17.61252,145.82147,MP
Agrihan Village,18.73638,145.65295,MP
Songsong,14.13972,145.14111,MP
JP Tinian Town pre-WW2,14.96874,145.62437,MP
Tanapag Village,15.24205,145.75626,MP
Capitol Hill Village,15.20825,145.75313,MP
Dugi Village,14.18851,145.27874,MP
San Roque Village,15.24889,145.77553,MP
Sinapalo Village,14.16608,145.2317,MP
Dandan Village,15.13511,145.73404,MP
Chalan Kanoa Village,15.14636,145.70304,MP
Koblerville Village,15.12382,145.70228,MP
Navy Hill Village,15.21109,145.73394,MP
San Vicente Village,15.15165,145.7376,MP
Garapan Village,15.20545,145.72025,MP
Gualo Rai Village,15.19415,145.71682,MP
San Antonio Village,15.13299,145.69716,MP
San Jose Village,15.16853,145.71016,MP
Susupe Village,15.15634,145.70258,MP
Kagman Village,15.17354,145.78057,MP
Puerto Rico Village,15.2197,145.73296,MP
Achugao Hamlet,15.23165,145.76707,MP
As Lito Hamlet,15.12963,145.72377,MP
As Perdido Hamlet,15.1339,145.7092,MP
Chalan Kiya Hamlet,15.16364,145.71909,MP
Fina Sisu Hamlet,15.14558,145.71927,MP
