City,Latitude,Longitude,Country Code
Fort-de-France,14.60365,-61.07418,MQ
Le Lamentin,14.61341,-60.99964,MQ
Sainte-Marie,14.78352,-60.99227,MQ
Le Robert,14.67751,-60.94228,MQ
Saint-Joseph,14.67099,-61.03905,MQ
Le François,14.61513,-60.90311,MQ
La Trinité,14.73807,-60.96319,MQ
Ducos,14.57529,-60.97453,MQ
Rivière-Pilote,14.48738,-60.90257,MQ
Le Gros-Morne,14.7,-61,MQ
Schoelcher,14.61774,-61.099,MQ
Saint-Pierre,14.74309,-61.17541,MQ
Sainte-Luce,14.46848,-60.92138,MQ
Saint-Esprit,14.55,-60.93333,MQ
Le Morne-Rouge,14.7761,-61.13564,MQ
Le Marin,14.47158,-60.86989,MQ
Le Lorrain,14.83257,-61.05553,MQ
L'Ajoupa-Bouillon,14.82094,-61.11749,MQ
Sainte-Anne,14.43452,-60.88078,MQ
Le Marigot,14.82189,-61.03071,MQ
Macouba,14.8764,-61.14196,MQ
Le Vauclin,14.5454,-60.83831,MQ
Les Trois-Îlets,14.53912,-61.03354,MQ
Les Anses-d'Arlet,14.49031,-61.07937,MQ
Le Diamant,14.4801,-61.02542,MQ
Le Carbet,14.71129,-61.18197,MQ
Grand'Rivière,14.87383,-61.17954,MQ
Bellefontaine,14.67311,-61.16402,MQ
Basse-Pointe,14.86935,-61.11521,MQ
Trois Rivières,14.4739,-60.96184,MQ
