City,Latitude,Longitude,Country Code
Nouakchott,18.08581,-15.9785,MR
Néma,16.61702,-7.25649,MR
Dar Naim,18.10808,-15.92666,MR
Nouadhibou,20.94188,-17.03842,MR
Tevragh Zeina,18.09894,-15.98848,MR
Ayoun El Atrous,16.6614,-9.6149,MR
Kiffa,16.62073,-11.40208,MR
Kaédi,16.15027,-13.5037,MR
Zouérat,22.73542,-12.47134,MR
Atar,20.5177,-13.04857,MR
Sélibaby,15.15846,-12.1843,MR
Rosso,16.51378,-15.80503,MR
Aleg,17.05314,-13.91312,MR
Akjoujt,19.74657,-14.38531,MR
Tidjikja,18.55644,-11.42715,MR
’Adel Bagrou,15.4975,-6.95056,MR
Wadi an-Nāqa,17.9525,-15.69528,MR
Boutilimit,17.5467,-14.6944,MR
Bogué,16.59153,-14.26309,MR
Bîr Mogreïn,25.22125,-11.57928,MR
Bassikounou,15.8656,-5.9468,MR
Tamchekket,17.2422,-10.6706,MR
Oualâta,17.3014,-7.0256,MR
Nouâmghâr,19.35644,-16.51389,MR
Ndiago,16.16763,-16.51026,MR
Magṭa‘ Laḥjar,17.506,-13.0927,MR
Maghama,15.50915,-12.85005,MR
Fderîck,22.678,-12.711,MR
Fassalé,15.5571,-5.516,MR
Timbedgha,16.2447,-8.1643,MR
