City,Latitude,Longitude,Country Code
Brades,16.79183,-62.21058,MS
Cork Hill,16.72925,-62.21883,MS
Saint John's Village,16.78215,-62.19103,MS
Plymouth,16.70555,-62.21292,MS
Gerald's,16.79575,-62.19356,MS
Saint Peters,16.7727,-62.21729,MS
Webbs,16.70549,-62.21699,MS
Victoria,16.70005,-62.21809,MS
Salem,16.75095,-62.22175,MS
Rendezvous,16.80894,-62.19958,MS
Judy Piece,16.78086,-62.19309,MS
Harris,16.74172,-62.17124,MS
Happy Hill,16.74189,-62.22301,MS
Fogarty,16.77334,-62.21383,MS
Farm,16.7353,-62.16506,MS
Drummond’s,16.80065,-62.19736,MS
Cudjoe Head,16.78441,-62.20819,MS
Cavalla Hill,16.77658,-62.20574,MS
Banks,16.78374,-62.21464,MS
Baker Hill,16.7774,-62.20939,MS
Weekes,16.72934,-62.21742,MS
Virgin Islands,16.77874,-62.21734,MS
Tuitt's,16.72137,-62.16888,MS
Trials,16.69267,-62.21088,MS
Trant's,16.76534,-62.16408,MS
Streatham,16.73039,-62.19048,MS
Soldier Ghaut,16.7827,-62.21117,MS
Shooters Hill,16.6779,-62.19266,MS
Saint Patrick's,16.68808,-62.19764,MS
Saint George’s Hill,16.72399,-62.20861,MS
