City,Latitude,Longitude,Country Code
San Pawl il-Baħar,35.95064,14.41561,MT
Birkirkara,35.89722,14.46111,MT
Żabbar,35.87611,14.535,MT
Sliema,35.9125,14.50194,MT
Qormi,35.87601,14.472,MT
Mosta,35.90917,14.42556,MT
Valletta,35.89968,14.5148,MT
St. Julian's,35.91839,14.48977,MT
Naxxar,35.91361,14.44361,MT
Swieqi,35.9225,14.48,MT
San Ġwann,35.90556,14.47611,MT
Żurrieq,35.83111,14.47417,MT
Żejtun,35.85583,14.53306,MT
Tarxien,35.86583,14.515,MT
Siġġiewi,35.85556,14.43639,MT
Paola,35.87306,14.49889,MT
Victoria,36.04444,14.23972,MT
Rabat,35.88152,14.39872,MT
Mdina,35.88694,14.4025,MT
Marsaskala,35.8622,14.56701,MT
Marsa,35.87917,14.49528,MT
Senglea,35.8875,14.51694,MT
Floriana,35.89583,14.50833,MT
Birgu,35.89222,14.51833,MT
Cospicua,35.88556,14.5275,MT
Birżebbuġa,35.82583,14.52694,MT
Attard,35.88972,14.4425,MT
Marsaxlokk,35.84194,14.54306,MT
Żebbuġ,36.07222,14.23583,MT
Haz-Zebbug,35.87194,14.44111,MT
