City,Latitude,Longitude,Country Code
Port Louis,-20.16194,57.49889,MU
Vacoas,-20.29806,57.47833,MU
Curepipe,-20.31628,57.52594,MU
Beau Bassin-Rose Hill,-20.23325,57.46609,MU
Quatre Bornes,-20.26381,57.4791,MU
Centre de Flacq,-20.18972,57.71444,MU
Mahébourg,-20.40806,57.7,MU
Port Mathurin,-19.68333,63.41667,MU
Triolet,-20.0576,57.55025,MU
Terre Rouge,-20.1283,57.53116,MU
Tamarin,-20.32556,57.37056,MU
Surinam,-20.50972,57.50528,MU
Souillac,-20.51667,57.51667,MU
Saint Pierre,-20.2215,57.53431,MU
Rose Belle,-20.40028,57.59667,MU
Quartier Militaire,-20.2479,57.59737,MU
Plaine Magnien,-20.42967,57.66968,MU
Pailles,-20.19271,57.48826,MU
Lalmatie,-20.18972,57.66111,MU
Grand Baie,-20.01816,57.58015,MU
Goodlands,-20.03841,57.65055,MU
Chemin Grenier,-20.48722,57.46556,MU
Bel Air Rivière Sèche,-20.25777,57.74976,MU
Bambous,-20.25667,57.40611,MU
Baie du Tombeau,-20.11944,57.49139,MU
Le Hochet,-20.13859,57.53013,MU
Baie aux Huîtres,-19.69444,63.40833,MU
The Vale,-20.03018,57.60219,MU
Saint Aubin,-20.496,57.55,MU
Roches Noire,-20.11111,57.71222,MU
