City,Latitude,Longitude,Country Code
Malé,4.17521,73.50916,MV
Fuvahmulah,-0.29878,73.42403,MV
Hithadhoo,-0.6,73.08333,MV
Thinadhoo,0.5306,72.99969,MV
Kulhudhuffushi,6.62207,73.06998,MV
Naifaru,5.44438,73.36571,MV
Dhihdhoo,6.88744,73.11402,MV
Hulhumale,4.21169,73.54008,MV
Viligili,0.75906,73.43296,MV
Maafushi,3.94231,73.4907,MV
Mahibadhoo,3.75713,72.96893,MV
Eydhafushi,5.10327,73.07078,MV
Kudahuvadhoo,2.67075,72.89437,MV
Muli,2.92167,73.58111,MV
Manadhoo,5.76687,73.4136,MV
Un’goofaaru,5.66812,73.03017,MV
Funadhoo,6.15091,73.29013,MV
Veymandoo,2.18772,73.09556,MV
Fonadhoo,1.83243,73.50257,MV
Gan,1.92322,73.54468,MV
Hithadhoo,1.79666,73.38824,MV
Felidhoo,3.47182,73.54699,MV
Hanimaadhoo,6.76485,73.17564,MV
Dharavandhoo,5.15825,73.13256,MV
Gadhdhoo,0.29015,73.45655,MV
Vaadhoo,0.22668,73.27262,MV
Magoodhoo,3.07922,72.96488,MV
Nolhivaranfaru,6.70178,73.11848,MV
Gan,-0.7,73.15,MV
Dhangethi,3.60765,72.9554,MV
