City,Latitude,Longitude,Country Code
Lilongwe,-13.96692,33.78725,MW
Blantyre,-15.78499,35.00854,MW
Mzuzu,-11.46556,34.02071,MW
Zomba,-15.38596,35.3188,MW
Karonga,-9.93333,33.93333,MW
Kasungu,-13.03333,33.48333,MW
Mangochi,-14.47815,35.26448,MW
Luchenza,-16.00693,35.30947,MW
Liwonde,-15.06665,35.22543,MW
Dedza,-14.3779,34.33322,MW
Balaka,-14.97928,34.95575,MW
Salima,-13.7804,34.4587,MW
Rumphi,-11.01863,33.85746,MW
Nsanje,-16.91995,35.26199,MW
Nkhotakota,-12.92744,34.29614,MW
Mzimba,-11.9,33.6,MW
Mulanje,-16.03163,35.5,MW
Mponela,-13.53099,33.73933,MW
Monkey Bay,-14.08239,34.91652,MW
Mchinji,-13.79841,32.88019,MW
Chitipa,-9.70237,33.26969,MW
Livingstonia,-10.60603,34.10788,MW
Chipoka,-13.99329,34.51566,MW
Phalombe,-15.80635,35.65067,MW
Ntcheu,-14.82027,34.63586,MW
Nkhata Bay,-11.60659,34.29073,MW
Mwanza,-15.60262,34.52479,MW
Limbe,-15.80901,35.06018,MW
Kapeta,-12.88675,34.29751,MW
Ephangweni,-12.17581,33.4643,MW
