City,Latitude,Longitude,Country Code
Mexico City,19.42847,-99.12766,MX
Puebla City,19.03793,-98.20346,MX
Tijuana,32.5027,-117.00371,MX
Iztapalapa,19.35529,-99.06224,MX
Guadalajara,20.66682,-103.39182,MX
León,21.12908,-101.67374,MX
Querétaro City,20.58806,-100.38806,MX
Ecatepec,19.60492,-99.06064,MX
Ciudad Juárez,31.72024,-106.46084,MX
Zapopan,20.72356,-103.38479,MX
Oaxaca City,17.06542,-96.72365,MX
Mérida,20.97537,-89.61696,MX
Tuxtla Gutiérrez,16.75973,-93.11308,MX
Morelia,19.70078,-101.18443,MX
Monterrey,25.67507,-100.31847,MX
Mexicali,32.62781,-115.45446,MX
Hermosillo,29.1026,-110.97732,MX
Culiacán,24.79032,-107.38782,MX
Chihuahua City,28.63528,-106.08889,MX
Aguascalientes,21.88234,-102.28259,MX
San Luis Potosí City,22.14982,-100.97916,MX
Saltillo,25.42321,-101.0053,MX
Acapulco de Juárez,16.84942,-99.90891,MX
Pachuca,20.11697,-98.73329,MX
Nuevo Laredo,27.47629,-99.51639,MX
Naucalpan,19.47851,-99.23963,MX
Xalapa,19.53124,-96.91589,MX
Cuernavaca,18.9261,-99.23075,MX
Coyoacán,19.3467,-99.16174,MX
Coatzacoalcos,18.14905,-94.4447,MX
