City,Latitude,Longitude,Country Code
Kuala Lumpur,3.1412,101.68653,MY
Petaling Jaya,3.10726,101.60671,MY
Johor Bahru,1.4655,103.7578,MY
Klang,3.03667,101.44333,MY
Ipoh,4.5841,101.0829,MY
Shah Alam,3.08507,101.53281,MY
Malacca,2.196,102.2405,MY
Kampung Baru Subang,3.15,101.53333,MY
Kota Bharu,6.12361,102.24333,MY
George Town,5.41123,100.33543,MY
Kuantan,3.8077,103.326,MY
Kuching,1.55,110.33333,MY
Alor Star,6.12104,100.36014,MY
Kota Kinabalu,5.9749,116.0724,MY
Kuala Terengganu,5.3302,103.1408,MY
Seremban,2.7297,101.9381,MY
Sibu,2.3,111.81667,MY
Kangar,6.4414,100.19862,MY
Miri,4.39928,113.99163,MY
Batu Pahat,1.8548,102.9325,MY
Sandakan,5.8402,118.1179,MY
Tawau,4.24482,117.89115,MY
Taiping,4.85,100.73333,MY
Butterworth,5.3991,100.36382,MY
Seri Kembangan,3.03333,101.71667,MY
Kampung Kangkar Teberau,1.532,103.7549,MY
Kampung Sungai Glugur,5.36966,100.31353,MY
Kampung Sungai Ara,5.32699,100.27348,MY
Cheras,3.108,101.726,MY
Tasek Gelugor,5.48032,100.49849,MY
