City,Latitude,Longitude,Country Code
Windhoek,-22.55941,17.08323,NA
Grootfontein,-19.57328,18.1003,NA
Swakopmund,-22.67842,14.52663,NA
Rundu,-17.91796,19.77314,NA
Katima Mulilo,-17.50467,24.27574,NA
Walvis Bay,-22.9575,14.50528,NA
Otjiwarongo,-20.46369,16.64772,NA
Oshakati,-17.78833,15.70436,NA
Keetmanshoop,-26.57654,18.13359,NA
Katutura,-22.52306,17.06028,NA
Tsumeb,-19.24842,17.71345,NA
Ondangwa,-17.90824,15.98037,NA
Okahandja,-21.98141,16.9029,NA
Mariental,-24.62705,17.96471,NA
Lüderitz,-26.64807,15.15383,NA
Gobabis,-22.45338,18.97159,NA
Rehoboth,-23.317,17.09,NA
Outjo,-20.10691,16.15415,NA
Oranjemund,-28.55153,16.42728,NA
Opuwo,-18.06068,13.83998,NA
Ongwediva,-17.77198,15.76564,NA
Outapi,-17.50375,14.98383,NA
Omuthiya,-18.36463,16.58146,NA
Omaruru,-21.42403,15.94611,NA
Nkurenkuru,-17.64182,18.61966,NA
Khorixas,-20.37711,14.96203,NA
Karasburg,-28.01658,18.74797,NA
Eenhana,-17.48535,16.3294,NA
Bethanie,-26.49958,17.1599,NA
Witvlei,-22.41039,18.49359,NA
