City,Latitude,Longitude,Country Code
Noumea,-22.27407,166.44884,NC
Wé,-20.91687,167.26461,NC
Mont-Dore,-22.26257,166.56621,NC
Dumbéa,-22.15757,166.4572,NC
Tadine,-21.54751,167.88019,NC
Païta,-22.13105,166.35717,NC
Bourail,-21.5669,165.49736,NC
Koné,-21.05951,164.86582,NC
Poindimié,-20.93714,165.33121,NC
Houaïlou,-21.28333,165.61667,NC
Fayaoué,-20.65284,166.53641,NC
Poum,-20.23333,164.01667,NC
Hienghène,-20.68333,164.93333,NC
Chépénéhé,-20.78333,167.15,NC
Touho,-20.79094,165.24987,NC
Plum,-22.27226,166.6144,NC
Ouåco,-20.83531,164.46945,NC
La Roche,-21.47799,168.02593,NC
Kaewatin,-21.39594,167.93562,NC
Kaala-Gomén,-20.66667,164.4,NC
Farino,-21.66667,165.76667,NC
Canala,-21.53333,165.95,NC
Bouloupari,-21.86226,166.05122,NC
Wakuarori,-21.43743,167.89021,NC
Thogone,-21.39619,167.90118,NC
Tenane,-21.40496,167.89444,NC
Sarraméa,-21.65,165.85,NC
Saint-Louis,-22.23333,166.55,NC
Pouembout,-21.13333,164.9,NC
Pouébo,-20.4,164.56667,NC
