City,Latitude,Longitude,Country Code
Niamey,13.51366,2.1098,NE
Alaghsas,17.0187,8.0168,NE
Agadez,16.97333,7.99111,NE
Maradi,13.5,7.10174,NE
Zinder,13.80716,8.9881,NE
Tahoua,14.8888,5.2692,NE
Diffa,13.31536,12.61135,NE
Dosso,13.049,3.1937,NE
Arlit,18.73694,7.38528,NE
Birni N Konni,13.79599,5.25026,NE
Tillabéri,14.20711,1.45418,NE
Dogondoutchi,13.6403,4.02649,NE
Dakoro,14.51056,6.765,NE
Bilma,18.68532,12.91643,NE
Bagaroua,14.63616,4.34896,NE
Ayorou,14.73075,0.91739,NE
Abalak,15.4509,6.2793,NE
Abala,14.9369,3.4336,NE
Nguigmi,14.24953,13.10921,NE
Mirriah,13.70727,9.15013,NE
Matamey,13.42309,8.47485,NE
Magaria,12.99826,8.90991,NE
Madaoua,14.073,5.96,NE
I-n-Gall,16.78778,6.93417,NE
Illéla,14.4605,5.2437,NE
Gothèye,13.8559,1.56707,NE
Gazaoua,13.52578,7.91398,NE
Gaya,11.88435,3.44919,NE
Torodi,13.11915,1.79869,NE
Tessaoua,13.75737,7.9874,NE
