City,Latitude,Longitude,Country Code
Ibadan,7.37756,3.90591,NG
Lagos,6.45407,3.39467,NG
Benin City,6.33815,5.62575,NG
Onitsha,6.14978,6.78569,NG
Abuja,9.05785,7.49508,NG
Sokoto,13.06269,5.24322,NG
Port Harcourt,4.77742,7.0134,NG
Enugu,6.44132,7.49883,NG
Kaduna,10.52641,7.43879,NG
Jos,9.92849,8.89212,NG
Ilorin,8.49664,4.54214,NG
Maiduguri,11.84692,13.15712,NG
Kano,12.00012,8.51672,NG
Zaria,11.11128,7.7227,NG
Yola,9.20839,12.48146,NG
Uyo,5.05127,7.9335,NG
Umuahia,5.52491,7.49461,NG
Owerri,5.48363,7.03325,NG
Osogbo,7.77104,4.55698,NG
Minna,9.61524,6.54776,NG
Gusau,12.17024,6.66412,NG
Gombe,10.28969,11.16729,NG
Akure,7.25256,5.19312,NG
Abeokuta,7.15571,3.34509,NG
Aba,5.10658,7.36667,NG
Makurdi,7.73375,8.52139,NG
Katsina,12.99082,7.60177,NG
Calabar,4.95893,8.32695,NG
Bauchi,10.31032,9.84388,NG
Awka,6.21269,7.07199,NG
