City,Latitude,Longitude,Country Code
Managua,12.13282,-86.2504,NI
León,12.43787,-86.87804,NI
Matagalpa,12.92559,-85.91747,NI
Masaya,11.97444,-86.09417,NI
Granada,11.92988,-85.95602,NI
Chinandega,12.62937,-87.13105,NI
Estelí,13.09185,-86.35384,NI
Jinotega,13.09103,-86.00234,NI
Nueva Guinea,11.68758,-84.45616,NI
El Viejo,12.66348,-87.16663,NI
Somoto,13.48082,-86.58208,NI
Rivas,11.43716,-85.82632,NI
Puerto Cabezas,14.03507,-83.38882,NI
Bluefields,12.01366,-83.76353,NI
San Carlos,11.1236,-84.77795,NI
Ocotal,13.63208,-86.47516,NI
Juigalpa,12.10629,-85.36452,NI
Jinotepe,11.84962,-86.19903,NI
Boaco,12.47224,-85.6586,NI
Tipitapa,12.19732,-86.09706,NI
San Rafael del Sur,11.84854,-86.43839,NI
Nagarote,12.26593,-86.56474,NI
Mateare,12.23512,-86.42809,NI
Diriamba,11.85812,-86.23922,NI
Chichigalpa,12.57758,-87.02705,NI
Waslala,13.23333,-85.38333,NI
Ticuantepe,12.02263,-86.20493,NI
Somotillo,13.04387,-86.90506,NI
Siuna,13.73321,-84.77725,NI
Santo Tomás,12.06938,-85.09059,NI
