City,Latitude,Longitude,Country Code
Amsterdam,52.37403,4.88969,NL
Groningen,53.21917,6.56667,NL
Utrecht,52.09083,5.12222,NL
The Hague,52.07667,4.29861,NL
Rotterdam,51.9225,4.47917,NL
Almere Stad,52.37025,5.21413,NL
Eindhoven,51.44083,5.47778,NL
Breda,51.58656,4.77596,NL
Tilburg,51.55551,5.0913,NL
Zwolle,52.5125,6.09444,NL
Haarlem,52.38084,4.63683,NL
Arnhem,51.98,5.91111,NL
Nijmegen,51.8425,5.85278,NL
Maastricht,50.84833,5.68889,NL
Zoetermeer,52.0575,4.49306,NL
Leeuwarden,53.20139,5.80859,NL
Hilversum,52.22333,5.17639,NL
Assen,52.99667,6.5625,NL
Apeldoorn,52.21,5.96944,NL
Amstelveen,52.30083,4.86389,NL
Amersfoort,52.155,5.3875,NL
Alkmaar,52.63167,4.74861,NL
Enschede,52.21833,6.89583,NL
Dordrecht,51.81,4.67361,NL
Deventer,52.255,6.16389,NL
Delft,52.00667,4.35556,NL
Venlo,51.37,6.16806,NL
's-Hertogenbosch,51.69917,5.30417,NL
Schiedam,51.91917,4.38889,NL
Middelburg,51.5,3.61389,NL
